Date,Open,High,Low,Close,Adj Close,Volume
2021-06-04,202.789993,204.449997,201.289993,202.020004,201.369812,2817700
2021-06-07,201.990005,233.330002,201.830002,222.520004,221.803833,17231400
2021-06-08,221.710007,222.270004,217.369995,220.699997,219.989685,4618500
2021-06-09,221.350006,226.729996,220.259995,226.000000,225.272629,4934900
2021-06-10,226.970001,235.850006,226.250000,233.539993,232.788345,5598200
2021-06-11,227.029999,229.589996,221.559998,224.089996,223.368774,5636000
2021-06-14,224.229996,226.660004,223.020004,226.100006,225.372314,2720700
2021-06-15,226.100006,226.660004,222.869995,223.520004,222.800613,2188900
2021-06-16,223.529999,224.360001,220.199997,220.759995,220.049484,2548800
2021-06-17,220.270004,223.100006,220.270004,222.210007,221.494827,1890700
2021-06-18,220.429993,221.050003,218.320007,218.550003,217.846603,4016600
2021-06-21,219.100006,223.770004,218.080002,222.669998,221.953339,3671300
2021-06-22,222.630005,223.610001,220.509995,221.440002,220.727310,1658800
2021-06-23,222.190002,222.240005,217.000000,217.100006,216.401276,2419600
2021-06-24,234.919998,239.369995,230.419998,232.970001,232.220200,12290500
2021-06-25,233.119995,233.490005,229.389999,230.220001,229.479050,6992200
2021-06-28,229.000000,229.880005,226.880005,228.220001,227.485489,2507500
2021-06-29,228.250000,231.399994,227.850006,229.369995,228.631775,1621200
2021-06-30,230.089996,230.850006,229.059998,229.520004,228.781296,1786700
2021-07-01,229.509995,231.500000,228.660004,231.130005,230.386124,1977300
2021-07-02,231.970001,234.210007,231.330002,233.960007,233.207016,1994000
2021-07-06,233.630005,235.580002,233.229996,235.419998,234.662308,3125400
2021-07-07,234.679993,236.589996,233.460007,235.820007,235.061020,3141500
2021-07-08,233.830002,237.270004,232.100006,237.119995,236.356827,2431500
2021-07-09,237.169998,238.470001,232.750000,234.990005,234.233704,4030100
2021-07-12,235.169998,238.000000,235.149994,236.009995,235.250397,2928600
2021-07-13,235.979996,236.649994,234.029999,235.300003,234.542694,1974000
2021-07-14,235.789993,237.229996,234.729996,236.350006,235.589325,2103400
2021-07-15,235.009995,235.990005,230.690002,231.470001,230.725021,3611200
2021-07-16,232.500000,233.039993,231.210007,232.460007,231.711838,2229100
2021-07-19,231.880005,234.300003,230.570007,234.139999,233.386429,2305600
2021-07-20,235.000000,237.750000,233.940002,235.020004,234.263596,2297800
2021-07-21,236.380005,237.369995,233.589996,237.289993,236.526276,1651500
2021-07-22,237.279999,239.699997,236.369995,238.490005,237.722427,1703500
2021-07-23,239.279999,244.550003,238.559998,244.149994,243.364197,2448100
2021-07-26,242.570007,245.279999,242.570007,243.210007,242.427246,2678800
2021-07-27,243.710007,244.059998,242.660004,243.580002,242.796051,2116500
2021-07-28,243.369995,248.399994,242.639999,246.509995,245.716614,1688000
2021-07-29,247.500000,248.240005,242.240005,245.330002,244.540421,1924100
2021-07-30,244.899994,245.949997,242.630005,243.500000,242.716309,1905100
2021-08-02,245.729996,247.889999,244.250000,246.600006,245.806335,1958900
2021-08-03,244.750000,259.369995,243.500000,255.990005,255.166107,5406200
2021-08-04,256.000000,270.649994,255.419998,262.470001,261.625244,3892400
2021-08-05,263.279999,265.510010,261.329987,264.190002,263.339722,2262400
2021-08-06,263.510010,264.269989,260.739990,263.440002,262.592133,2155200
2021-08-09,264.579987,273.040009,264.500000,267.160004,266.300171,3238500
2021-08-10,266.750000,271.079987,266.179993,269.450012,268.582794,2060200
2021-08-11,269.589996,270.940002,262.660004,264.100006,263.250000,2813300
2021-08-12,263.200012,264.540009,261.489990,263.470001,263.470001,2100900
2021-08-13,263.149994,265.690002,263.019989,264.209991,264.209991,1482300
2021-08-16,264.880005,270.260010,264.269989,269.940002,269.940002,2623200
2021-08-17,271.160004,275.869995,267.179993,272.709991,272.709991,2096100
2021-08-18,272.010010,274.760010,268.029999,268.519989,268.519989,2527400
2021-08-19,266.149994,271.850006,265.429993,270.399994,270.399994,1901000
2021-08-20,269.380005,272.869995,269.059998,270.910004,270.910004,1536800
2021-08-23,272.299988,272.910004,267.700012,267.820007,267.820007,2438800
2021-08-24,266.200012,267.440002,261.779999,262.769989,262.769989,3736000
2021-08-25,262.779999,264.519989,261.290009,263.869995,263.869995,2388500
2021-08-26,264.000000,265.589996,260.579987,261.320007,261.320007,1732900
2021-08-27,262.519989,263.130005,258.579987,259.750000,259.750000,1839700
2021-08-30,261.029999,264.070007,259.609985,262.309998,262.309998,1300700
2021-08-31,262.839996,263.579987,261.450012,263.083893,263.083893,315656
